year,Nuclear States
1945,1
1946,1
1947,1
1948,1
1949,2
1950,2
1951,2
1952,3
1953,3
1954,3
1955,3
1956,3
1957,3
1958,3
1959,3
1960,4
1961,4
1962,4
1963,4
1964,5
1965,5
1966,5
1967,6
1968,6
1969,6
1970,6
1971,6
1972,6
1973,6
1974,7
1975,7
1976,7
1977,7
1978,7
1979,7
1980,7
1981,7
1982,7
1983,7
1984,7
1985,7
1986,7
1987,7
1988,7
1989,7
1990,7
1991,7
1992,7
1993,7
1994,7
1995,7
1996,7
1997,7
1998,8
1999,8
2000,8
2001,8
2002,8
2003,8
2004,8
2005,8
2006,9
2007,9
2008,9
2009,9
2010,9
2011,9
2012,9
2013,9
2014,9
