Vehicle age,Gasoline car,Total Gasoline,84-mile-range BEV,Total BEV,265-mile-range BEV,Totla 265 BEV,,,,,,
1,"14,700","14,700","11,000","11,000","14,700","14,700",,,,,,
2,"14,300","29,000","10,700","21,700","14,300","29,000",,,,,,
3,"14,000","43,000","10,500","32,200","14,000","43,000",,,,,,
4,"13,600","56,600","10,200","42,400","13,600","56,600",,,,,,
5,"13,300","69,900","10,000","52,400","13,300","69,900",,,,,,
6,"13,000","82,900","9,800","62,200","13,000","82,900",,,,,,
7,"12,800","95,700","9,600","71,800","12,800","95,700",,,,,,
8,"11,400","107,100","8,500","80,300","11,400","107,100",,,,,,
9,"11,100","118,200","8,300","88,600","11,100","118,200",,,,,,
10,"10,800","129,000","8,100","96,700","10,800","129,000",,,,,,
11,"10,500","139,500","7,900","104,600","10,500","139,500",,,,,,
12,"10,300","149,800","7,700","112,300","10,300","149,800",,,,,,
13,"10,000","159,800","7,500","119,800","10,000","159,800",,,,,,
14,"9,800","169,600","7,400","127,200","9,800","169,600",,,,,,
15,"9,600","179,200","7,200","134,400","9,600","179,200",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,"10,700","14,300"
,,,,,,,,,,,"10,200","13,600"
